customer_id,gender,age,tenure,monthly_charges,total_charges,contract_type,payment_method,churn
86,Male,47,61,41.73,2487.0291537305516,Monthly,Mailed Check,1
87,Female,64,26,51.86,1428.8960998265934,Monthly,Electronic,0
88,Male,52,36,27.34,1156.0019355498305,Annual,Electronic,1
89,Female,72,1,46.91,38.72901508776417,Monthly,Credit Card,1
90,Female,57,8,61.8,558.6212226177443,Two-Year,Electronic,0
91,Female,69,52,78.58,3746.8176681767545,Annual,Credit Card,0
92,Female,33,47,20.27,931.3190500454724,Monthly,Electronic,0
93,Female,30,56,57.38,2598.7894644344647,Two-Year,Bank Transfer,1
94,Female,67,14,43.76,563.8851476497654,Annual,Credit Card,0
95,Female,59,28,88.23,2473.040130817272,Two-Year,Credit Card,0
96,Female,47,2,77.24,127.05523217145296,Monthly,Bank Transfer,0
97,Female,36,26,67.13,1739.1634656603153,Monthly,Credit Card,0
98,Female,34,14,42.18,691.4069474213914,Monthly,Electronic,0
99,Female,73,59,92.83,4612.470197511962,Monthly,Electronic,0
100,Male,36,56,23.61,1462.0131812129234,Annual,Credit Card,1
101,Male,45,7,28.76,194.04599058626195,Annual,Electronic,0
102,Female,72,3,51.33,163.54808011984113,Two-Year,Mailed Check,0
103,Female,43,23,29.96,622.9935339758648,Monthly,Credit Card,0
104,Female,54,18,96.51,1500.570707456639,Two-Year,Bank Transfer,1
105,Female,43,38,83.84,2753.2244208235948,Annual,Mailed Check,0
106,Female,70,15,40.72,505.8625921595331,Monthly,Credit Card,1
107,Female,40,64,67.08,3753.29743269825,Monthly,Bank Transfer,0
108,Female,26,28,98.59,2941.852358659899,Annual,Electronic,0
109,Female,29,39,90.74,4079.1598554514067,Annual,Bank Transfer,0
110,Male,70,57,68.06,4366.870186878426,Annual,Mailed Check,0
111,Female,18,17,92.3,1685.2976982496211,Annual,Electronic,0
112,Male,18,44,99.13,3682.0451469109894,Annual,Credit Card,0
113,Female,64,25,79.47,1819.2172635713914,Monthly,Electronic,1
114,Female,51,17,25.2,395.80850615525827,Annual,Credit Card,0
115,Male,49,13,52.13,609.9093292016817,Monthly,Credit Card,0
116,Female,71,25,87.03,2188.809425645372,Monthly,Bank Transfer,0
117,Male,65,68,38.45,2651.783601753757,Annual,Bank Transfer,0
118,Female,42,10,86.45,815.0111702141699,Annual,Bank Transfer,0
119,Female,57,67,29.63,1869.106310326064,Monthly,Mailed Check,0
120,Male,62,18,23.76,483.8866632449891,Annual,Mailed Check,0
121,Female,70,34,50.73,1924.4112362555038,Annual,Bank Transfer,0
122,Male,18,8,22.94,169.4106764120202,Annual,Mailed Check,0
123,Female,33,40,96.58,4502.61900654847,Two-Year,Electronic,0
124,Male,56,42,86.1,4271.187865793784,Monthly,Electronic,0
125,Male,22,41,84.06,3207.610040561942,Two-Year,Mailed Check,0
126,Female,39,6,70.38,397.6906269505325,Annual,Mailed Check,1
127,Female,46,52,37.31,1944.4923734948045,Two-Year,Electronic,0
128,Male,72,26,61.46,1879.9173654385236,Annual,Credit Card,0
129,Female,20,64,67.78,4990.8974381666785,Two-Year,Electronic,0
130,Female,29,59,62.0,3076.4774428523087,Annual,Electronic,1
131,Female,43,56,40.82,2187.8364242635985,Two-Year,Mailed Check,1
132,Male,33,59,61.22,3689.0902679809524,Two-Year,Electronic,0
133,Male,68,70,59.29,4155.500280332263,Two-Year,Mailed Check,1
134,Male,54,33,99.71,2887.501141852636,Monthly,Mailed Check,0
135,Male,39,53,91.79,5563.108778221128,Two-Year,Bank Transfer,0
136,Male,74,22,57.07,1344.4024922735396,Monthly,Electronic,1
137,Male,46,21,69.83,1664.6375912535723,Annual,Credit Card,1
138,Male,31,70,79.83,6390.024267773114,Two-Year,Bank Transfer,0
139,Male,45,70,22.79,1753.780837341182,Annual,Mailed Check,0
140,Male,22,4,91.59,357.45167834953855,Annual,Mailed Check,0
141,Female,64,62,88.81,5749.697901360412,Two-Year,Credit Card,0
142,Male,66,62,56.59,3031.9259426414437,Monthly,Mailed Check,1
143,Female,47,24,51.29,1316.4602252379648,Two-Year,Electronic,0
144,Female,63,55,41.84,2005.9590368428933,Annual,Bank Transfer,0
145,Female,69,9,58.13,563.7574429068795,Annual,Mailed Check,0
146,Male,22,3,23.55,63.008444022907156,Two-Year,Mailed Check,0
147,Male,29,31,88.18,2315.3983532258558,Monthly,Credit Card,0
148,Male,33,40,22.83,790.9351185594194,Monthly,Electronic,0
149,Male,43,36,46.32,1335.3447701282016,Annual,Mailed Check,1
150,Female,43,24,94.53,2467.2235783266647,Annual,Credit Card,1
151,Male,65,6,78.82,516.8828416482754,Monthly,Mailed Check,0
152,Male,38,66,42.51,2822.419161007054,Two-Year,Credit Card,1
153,Male,56,4,40.21,139.05343716869916,Annual,Credit Card,1
154,Male,53,6,20.41,102.06082566862364,Monthly,Electronic,1
155,Male,50,51,75.66,3116.452871053161,Annual,Mailed Check,0
156,Female,47,62,23.9,1283.6822594508258,Two-Year,Electronic,0
157,Male,54,57,62.61,4126.719403032722,Monthly,Credit Card,0
158,Female,40,66,96.97,5738.352247051039,Annual,Bank Transfer,0
159,Male,27,8,28.76,216.66829878645478,Two-Year,Mailed Check,0
160,Female,71,26,91.56,2004.760498614753,Annual,Bank Transfer,0
161,Male,22,51,99.32,4502.7884656668,Two-Year,Mailed Check,0
162,Male,53,45,24.92,1130.023373469169,Two-Year,Electronic,1
163,Female,51,44,90.63,4159.595011773678,Monthly,Electronic,0
164,Female,69,5,61.29,275.23528667049413,Two-Year,Electronic,0
165,Female,48,70,92.52,5330.67862240222,Annual,Electronic,1
166,Male,27,26,65.71,1633.9936062357579,Two-Year,Electronic,1
167,Female,36,68,72.97,4434.411103360653,Two-Year,Bank Transfer,1
168,Male,49,19,63.5,1071.1567233507024,Monthly,Electronic,1
169,Male,18,20,89.16,2111.2109399194533,Two-Year,Credit Card,0
170,Female,73,12,78.71,988.4592539866259,Two-Year,Credit Card,1
171,Female,22,47,61.7,2965.8767189419045,Annual,Bank Transfer,0
172,Male,62,1,89.45,86.43643320406446,Monthly,Mailed Check,0
173,Male,21,14,39.62,538.9147371468129,Monthly,Credit Card,0
174,Female,33,64,32.59,2119.8872083221263,Monthly,Mailed Check,0
175,Female,41,38,32.83,1345.5616165879298,Two-Year,Bank Transfer,0
176,Female,33,37,46.72,1868.415131081503,Monthly,Mailed Check,0
177,Male,72,11,39.1,373.6182198816456,Two-Year,Mailed Check,1
178,Male,19,3,94.41,283.24277390826524,Two-Year,Mailed Check,0
179,Male,66,33,28.47,906.4234999461956,Annual,Mailed Check,0
180,Male,45,6,75.92,523.0329774700119,Annual,Bank Transfer,1
181,Male,49,50,35.14,1849.3612178322749,Annual,Credit Card,0
182,Male,44,10,90.53,917.0703725305553,Annual,Electronic,0
183,Female,37,5,96.91,410.00578954711773,Annual,Mailed Check,0
184,Male,41,23,57.24,1372.1497576208228,Two-Year,Credit Card,0
185,Male,29,10,90.33,764.9881152003819,Two-Year,Credit Card,0
186,Male,67,44,20.41,839.5619972484271,Monthly,Bank Transfer,1
187,Female,52,2,85.6,146.74181775048544,Two-Year,Credit Card,0
188,Male,50,13,38.29,536.013399711728,Two-Year,Bank Transfer,0
189,Male,50,40,92.7,3272.3131352417818,Annual,Mailed Check,1
190,Female,68,2,20.09,38.44196384587796,Two-Year,Mailed Check,1
191,Male,60,65,64.49,4855.29372662451,Annual,Electronic,0
192,Male,54,63,80.53,4473.342678549001,Monthly,Electronic,0
193,Male,29,17,40.7,694.0601295012318,Monthly,Electronic,0
194,Male,20,9,35.45,308.74744939800775,Two-Year,Credit Card,0
195,Male,18,15,26.73,323.66673370291414,Monthly,Mailed Check,0
196,Female,50,24,46.11,1236.231135521687,Two-Year,Bank Transfer,0
197,Female,57,38,64.79,2037.612960905869,Monthly,Electronic,1
198,Female,27,35,29.27,1013.9002224959362,Annual,Bank Transfer,0
199,Male,60,49,50.14,2516.4912302814837,Annual,Bank Transfer,0
200,Male,61,69,20.73,1503.848940299123,Annual,Electronic,0
201,Male,46,62,85.49,5700.3077261403505,Annual,Mailed Check,0
202,Female,30,60,30.28,1637.4981065536276,Two-Year,Electronic,0
203,Male,29,50,42.67,1715.315888000321,Monthly,Bank Transfer,0
204,Male,48,9,21.47,210.50040755073584,Two-Year,Electronic,1
205,Female,63,34,54.58,1882.1874658165157,Annual,Bank Transfer,0
206,Male,19,35,87.21,3462.7295485538584,Two-Year,Bank Transfer,0
207,Female,68,1,51.37,57.97388808088346,Monthly,Electronic,0
208,Female,67,40,34.36,1563.1469940030665,Two-Year,Credit Card,0
209,Female,52,64,80.3,5108.55939062674,Monthly,Electronic,0
210,Male,40,22,83.1,1706.535773307583,Two-Year,Credit Card,0
211,Male,34,60,33.9,2271.2117536283386,Monthly,Bank Transfer,0
212,Male,43,64,81.67,5125.048069404141,Monthly,Bank Transfer,0
213,Male,25,11,95.78,920.1724117146922,Annual,Credit Card,1
214,Male,46,14,33.31,532.5554337129192,Monthly,Bank Transfer,1
215,Male,43,60,81.68,5650.739777634368,Annual,Credit Card,1
216,Male,27,30,76.69,2269.6955423806753,Annual,Credit Card,1
217,Female,43,35,57.89,1682.2716009954906,Annual,Bank Transfer,0
218,Male,51,37,24.63,870.4199176008794,Two-Year,Mailed Check,1
219,Female,68,5,25.98,145.67181678567687,Two-Year,Credit Card,0
220,Male,58,26,88.19,2661.4374964059157,Two-Year,Electronic,1
221,Male,24,62,99.21,5421.441963423024,Two-Year,Electronic,1
222,Male,21,4,74.08,244.99424828613138,Monthly,Bank Transfer,1
223,Female,70,42,55.68,2691.5426702713326,Monthly,Mailed Check,1
224,Female,67,18,71.81,1235.3988144101256,Two-Year,Bank Transfer,0
225,Female,62,40,67.55,2747.135250180382,Monthly,Mailed Check,0
226,Female,28,39,50.69,2347.039593800506,Monthly,Credit Card,0
227,Male,46,14,25.25,292.21225252707114,Annual,Credit Card,0
228,Female,73,32,85.72,2905.7768908645585,Annual,Credit Card,0
229,Male,53,51,49.75,2105.0095933712328,Annual,Credit Card,0
230,Male,42,38,85.5,3087.1594194350637,Annual,Electronic,1
231,Female,38,23,40.2,1036.9627713943444,Monthly,Electronic,0
232,Female,74,63,20.08,1231.375885330075,Two-Year,Bank Transfer,1
233,Female,53,15,32.72,588.4068397182272,Monthly,Mailed Check,1
234,Female,27,25,57.48,1470.9472769873069,Monthly,Credit Card,1
235,Female,54,17,95.54,1507.9940580273053,Monthly,Credit Card,1
236,Female,26,66,28.18,1651.6562611294928,Annual,Mailed Check,0
237,Female,41,53,88.34,4402.073660775399,Annual,Mailed Check,1
238,Female,52,51,62.16,3008.524033256631,Annual,Bank Transfer,1
239,Male,66,39,86.07,2777.6453053705404,Two-Year,Mailed Check,0
240,Female,52,51,43.87,2120.6456906285916,Monthly,Credit Card,0
241,Female,65,70,87.2,6016.684769795292,Two-Year,Credit Card,1
242,Male,53,6,81.83,534.7239126376834,Annual,Credit Card,0
243,Female,35,67,38.4,2734.093447316701,Two-Year,Credit Card,0
244,Male,66,7,30.51,231.40443239491617,Monthly,Credit Card,0
245,Male,56,51,89.44,3664.4121732241483,Monthly,Bank Transfer,0
246,Female,49,42,97.06,3616.1462030952184,Annual,Credit Card,0
247,Male,41,64,22.5,1533.1301501183173,Annual,Bank Transfer,1
248,Male,40,15,78.5,1169.9589924126608,Two-Year,Credit Card,0
249,Male,49,29,92.76,2157.749384834751,Annual,Electronic,0
250,Male,54,33,88.59,3279.542380924064,Annual,Electronic,0
251,Female,29,27,97.16,2909.5867239216027,Monthly,Electronic,0
252,Male,66,36,80.81,2965.503636885741,Annual,Electronic,1
253,Female,72,29,55.38,1327.5125721852835,Annual,Bank Transfer,0
254,Male,30,38,44.96,1890.6142527301722,Monthly,Bank Transfer,0
255,Male,40,57,45.66,2689.7698630805608,Monthly,Mailed Check,0
256,Male,42,27,77.95,2342.0208263701993,Two-Year,Credit Card,0
257,Male,52,55,79.67,4823.097023451885,Annual,Electronic,1
258,Female,58,33,36.03,1333.0965734148594,Monthly,Bank Transfer,1
259,Female,47,68,89.45,6126.4143458851095,Two-Year,Credit Card,0
260,Male,34,66,77.19,4361.587548367036,Two-Year,Credit Card,0
261,Male,66,10,65.02,694.7146356765893,Annual,Bank Transfer,0
262,Female,37,5,57.72,302.5074937463995,Annual,Electronic,0
263,Male,65,38,63.46,2645.1554863467422,Two-Year,Mailed Check,0
264,Male,42,13,32.74,369.4179015181256,Monthly,Credit Card,0
265,Male,39,31,36.3,988.0022369791182,Two-Year,Mailed Check,0
266,Female,30,47,27.29,1482.9303836284107,Annual,Electronic,0
267,Female,36,52,32.29,1846.973088729961,Monthly,Electronic,1
268,Female,66,56,56.3,3667.625111669751,Monthly,Mailed Check,1
269,Male,53,15,62.43,1033.3595850015813,Two-Year,Electronic,0
270,Male,29,29,21.43,645.6216432055172,Annual,Credit Card,1
271,Female,58,8,83.74,711.2226412758852,Two-Year,Mailed Check,0
272,Female,36,5,43.53,251.52747705821724,Two-Year,Electronic,0
273,Female,29,29,92.95,2780.5210188498645,Two-Year,Mailed Check,1
274,Female,26,47,97.4,4820.224401804197,Monthly,Credit Card,1
275,Male,24,68,34.84,2043.5808469673807,Monthly,Electronic,1
276,Female,45,45,56.97,2536.9072543802586,Annual,Credit Card,0
277,Male,31,2,20.1,43.67966556028623,Annual,Electronic,0
278,Female,48,27,67.87,1664.591914095103,Two-Year,Bank Transfer,1
279,Male,69,36,68.58,2174.8405204853657,Two-Year,Electronic,0
280,Female,36,36,39.8,1326.100420329577,Two-Year,Mailed Check,0
281,Female,64,26,64.67,1507.561594367884,Annual,Electronic,0
282,Female,33,43,38.04,1449.1907594612694,Monthly,Credit Card,0
283,Female,70,27,32.87,860.8123498147993,Monthly,Credit Card,0
284,Male,22,69,72.12,5788.087455947341,Two-Year,Electronic,0
285,Female,52,20,46.07,924.0019034020221,Two-Year,Mailed Check,1
286,Male,29,11,67.22,647.1168351929864,Two-Year,Bank Transfer,0
287,Male,42,38,54.66,1725.6145260150504,Two-Year,Mailed Check,0
288,Male,69,6,98.75,638.9890063976883,Annual,Bank Transfer,0
289,Male,38,23,31.97,700.8383037910882,Monthly,Credit Card,0
290,Female,53,47,57.17,3032.892614066158,Two-Year,Mailed Check,0
291,Male,70,46,74.44,3642.7212617641885,Annual,Bank Transfer,0
292,Male,40,12,51.64,693.1099608285901,Two-Year,Electronic,1
293,Male,33,13,97.98,1157.547419299542,Two-Year,Credit Card,0
294,Female,74,62,77.75,5191.406474289412,Monthly,Electronic,1
295,Female,56,60,72.56,3942.72810262503,Two-Year,Credit Card,0
296,Female,62,43,80.56,4072.467335317666,Monthly,Mailed Check,0
297,Female,70,68,96.21,6899.159493836066,Monthly,Mailed Check,0
298,Male,59,5,92.63,430.63905610048386,Monthly,Credit Card,0
299,Male,56,37,77.94,2617.9091672964837,Annual,Credit Card,1
300,Female,31,31,79.93,2171.4974481152285,Annual,Credit Card,0
301,Male,48,9,31.67,307.2214050053917,Monthly,Mailed Check,0
302,Male,22,51,28.22,1277.287953815551,Two-Year,Bank Transfer,1
303,Male,52,29,65.67,1977.0293594921152,Monthly,Electronic,1
304,Female,40,40,21.47,777.9474244493987,Two-Year,Electronic,1
305,Female,46,41,58.59,2557.8220717977533,Monthly,Mailed Check,0
306,Male,60,11,36.83,456.16661288945147,Two-Year,Electronic,1
307,Female,28,23,47.68,1218.597441056861,Annual,Credit Card,0
308,Female,35,1,82.06,90.62218408647198,Two-Year,Bank Transfer,0
309,Female,64,46,95.3,3836.2149928294784,Monthly,Electronic,0
310,Female,29,21,25.79,452.41936137493826,Annual,Bank Transfer,0
311,Female,26,36,62.74,2438.381512789899,Two-Year,Credit Card,0
312,Male,27,54,90.6,4634.7607635069935,Two-Year,Electronic,0
313,Female,61,57,26.6,1475.169339389102,Two-Year,Mailed Check,1
314,Male,34,1,85.96,69.83903040660796,Two-Year,Bank Transfer,0
315,Male,55,63,48.62,2768.4872954865727,Two-Year,Credit Card,0
316,Female,24,54,45.77,2010.5575705152196,Annual,Bank Transfer,0
317,Male,63,55,98.2,6220.192943127736,Annual,Electronic,1
318,Male,30,40,36.07,1294.7090938190784,Annual,Electronic,0
319,Male,57,15,75.46,1157.859976895875,Annual,Mailed Check,0
320,Female,59,21,85.72,1468.1629818834058,Monthly,Credit Card,1
321,Female,26,47,23.29,1167.6844639779647,Annual,Credit Card,1
322,Male,67,53,73.63,3626.1434735189273,Two-Year,Mailed Check,0
323,Female,44,9,96.12,1002.7727721013351,Two-Year,Mailed Check,0
324,Female,19,52,29.94,1798.5813783950487,Annual,Credit Card,1
325,Female,22,57,91.7,4861.624613246008,Two-Year,Bank Transfer,0
326,Female,46,26,67.58,2038.8881482399227,Annual,Bank Transfer,0
327,Male,54,41,69.33,3406.6672286601934,Two-Year,Mailed Check,1
328,Male,55,35,69.04,2730.933764315643,Monthly,Bank Transfer,0
329,Female,36,63,43.91,3147.9411821742888,Monthly,Credit Card,0
330,Female,25,25,94.82,2132.510083578639,Annual,Electronic,0
331,Male,65,38,95.79,3751.699306356085,Annual,Electronic,0
332,Male,62,2,70.02,115.79940727679607,Annual,Bank Transfer,0
333,Female,18,7,82.67,484.92322434373284,Two-Year,Mailed Check,1
334,Male,39,34,68.98,2813.345128341567,Annual,Mailed Check,0
335,Female,69,17,58.75,929.4923801456514,Monthly,Mailed Check,0
336,Female,34,43,72.87,3444.47478074119,Two-Year,Mailed Check,0
337,Male,24,59,64.24,4255.083846952048,Annual,Mailed Check,0
338,Male,42,51,67.8,3952.9891465955184,Two-Year,Bank Transfer,1
339,Female,62,54,82.71,5355.370867927658,Two-Year,Electronic,0
340,Female,21,24,58.47,1258.178875132503,Annual,Electronic,0
341,Male,53,25,23.26,474.58560232756616,Two-Year,Bank Transfer,0
342,Female,23,71,33.12,2267.9860313578515,Monthly,Mailed Check,0
343,Male,48,52,55.09,2440.7997972982353,Monthly,Bank Transfer,0
344,Female,36,70,77.99,4416.411862680963,Two-Year,Electronic,1
345,Male,61,33,67.46,2101.8939976183333,Annual,Credit Card,1
346,Male,71,49,72.02,3929.502645311795,Two-Year,Bank Transfer,0
347,Male,56,29,58.34,1736.6473857024193,Monthly,Mailed Check,0
348,Female,44,63,69.26,4036.6116890242697,Two-Year,Electronic,1
349,Female,27,22,46.32,1081.9522709109203,Two-Year,Electronic,1
350,Male,43,26,57.61,1337.300300622942,Monthly,Electronic,0
351,Female,36,28,79.54,1794.5076824704252,Two-Year,Electronic,0
352,Male,56,49,89.75,4862.774042080319,Two-Year,Mailed Check,0
353,Male,20,71,54.69,4075.1872644384393,Annual,Credit Card,1
354,Female,62,49,23.49,1271.7751775307397,Annual,Electronic,1
355,Female,30,20,32.93,537.1378311161988,Monthly,Bank Transfer,0
356,Male,67,63,21.67,1549.3056348442738,Monthly,Credit Card,0
357,Female,45,61,72.26,4618.601902436809,Monthly,Electronic,1
358,Female,37,49,46.59,2340.8003520381576,Annual,Credit Card,1
359,Male,45,71,63.4,4725.775070473101,Monthly,Bank Transfer,1
360,Male,25,1,59.46,68.12768034351717,Monthly,Electronic,1
361,Female,58,13,26.52,356.74889200049955,Monthly,Bank Transfer,0
362,Male,56,51,52.26,2751.5615238003074,Annual,Mailed Check,0
363,Male,18,56,37.64,2521.5492617718014,Two-Year,Electronic,0
364,Female,20,62,53.47,3655.5785784222767,Monthly,Electronic,0
365,Male,30,32,36.29,1134.4747801577178,Two-Year,Electronic,0
366,Male,45,30,87.24,2834.3197713944714,Monthly,Electronic,1
367,Female,74,29,33.94,940.6495936269438,Two-Year,Mailed Check,0
368,Female,66,49,96.86,4231.4219950045745,Annual,Electronic,1
369,Male,42,45,53.27,2490.017390672597,Annual,Credit Card,0
370,Male,73,30,87.7,3081.6188400551227,Monthly,Electronic,1
371,Female,50,16,70.3,1317.8784528453568,Two-Year,Mailed Check,0
372,Female,55,40,78.83,2953.7982891688926,Annual,Electronic,0
373,Female,70,19,81.42,1564.106594678255,Monthly,Credit Card,0
374,Female,23,18,60.39,961.6369817853641,Monthly,Mailed Check,0
375,Male,61,1,63.46,76.04110008351965,Annual,Mailed Check,1
376,Female,62,47,61.12,3425.4714187430986,Annual,Credit Card,1
377,Female,49,66,67.04,4689.249276296304,Monthly,Credit Card,0
378,Male,62,38,22.35,952.7155443536315,Two-Year,Credit Card,0
379,Female,64,51,51.64,2860.2385555052815,Two-Year,Credit Card,0
380,Male,38,63,68.5,4476.30971770593,Two-Year,Credit Card,0
381,Female,33,4,67.82,222.81289784925926,Monthly,Mailed Check,1
382,Female,71,1,83.44,81.93021469703761,Annual,Mailed Check,1
383,Female,38,8,72.4,619.6944904861457,Monthly,Electronic,0
384,Male,28,29,99.37,3086.3692710708124,Annual,Electronic,1
385,Male,54,55,42.71,2229.83347472204,Two-Year,Bank Transfer,0
386,Female,53,3,48.73,172.018380611815,Two-Year,Electronic,1
387,Male,52,32,50.71,1406.8054413405077,Annual,Electronic,0
388,Male,36,10,57.27,572.7823419390606,Annual,Credit Card,1
389,Male,37,34,86.88,3179.4623984052027,Monthly,Credit Card,1
390,Male,74,55,38.86,2305.8353431730256,Two-Year,Electronic,0
391,Male,35,32,82.08,2782.72365531628,Monthly,Bank Transfer,1
392,Male,64,50,52.42,2385.41216298293,Monthly,Credit Card,0
393,Female,58,7,68.15,411.4473374367813,Monthly,Electronic,0
394,Female,66,8,70.6,595.5116386366905,Two-Year,Electronic,0
395,Male,31,65,49.83,3367.6038356279323,Monthly,Mailed Check,1
396,Female,32,57,61.01,3031.5452322806223,Monthly,Bank Transfer,1
397,Female,48,67,53.04,3845.279551532479,Monthly,Mailed Check,1
398,Female,18,59,25.53,1479.2607663954618,Monthly,Bank Transfer,1
399,Female,70,54,54.97,3167.570873961187,Monthly,Credit Card,0
400,Male,71,67,27.79,2113.1915547345743,Monthly,Bank Transfer,1
